bucket,google_dark,google_light,google_n,field_dark,field_light,field_n,google_proportion_dark,field_proportion_dark
California-U. a. californiensis,5,7,12,155,592,747,0.4166666666666667,0.2074966532797858
Montana-U. a. cinnamonum,18,10,28,235,135,370,0.6428571428571429,0.6351351351351351
California-U. a. altifrontalis,0,2,2,121,106,227,0.0,0.5330396475770925
British Columbia-U. a. vancouveri,5,0,5,136,0,136,1.0,1.0
Colorado-U. a. amblyceps,3,11,14,338,983,1321,0.21428571428571427,0.2558667676003028
Yukon Territory-U. a. americanus,12,2,14,12,0,12,0.8571428571428571,1.0
Manitoba-U. a. americanus,22,5,27,898,176,1074,0.8148148148148148,0.8361266294227188
British Columbia-U. a. cinnamonum,25,8,33,135,27,162,0.7575757575757576,0.8333333333333334
New Mexico-U. a. amblyceps,15,27,42,48,171,219,0.35714285714285715,0.2191780821917808
Oregon-U. a. altifrontalis,8,3,11,344,30,374,0.7272727272727273,0.9197860962566845
Wyoming-U. a. cinnamonum,36,7,43,247,186,433,0.8372093023255814,0.5704387990762124
British Columbia-U. a. carlottae,11,1,12,38,0,38,0.9166666666666666,1.0
Arizona-U. a. amblyceps,11,18,29,163,213,376,0.3793103448275862,0.43351063829787234
Idaho-U. a. cinnamonum,12,11,23,444,418,862,0.5217391304347826,0.5150812064965197
British Columbia-U. a. kermodei,8,2,10,35,5,40,0.8,0.875
Washington-U. a. altifrontalis,4,3,7,2114,284,2398,0.5714285714285714,0.8815679733110926
Alaska-U. a. emmonsii,3,0,3,33,5,38,1.0,0.868421052631579
Alberta-U. a. americanus,4,0,4,400,76,476,1.0,0.8403361344537815
British Columbia-U. a. altifrontalis,10,1,11,90,32,122,0.9090909090909091,0.7377049180327869
Alaska-U. a. americanus,22,0,22,2193,71,2264,1.0,0.9686395759717314
Saskatchewan-U. a. americanus,27,11,38,234,73,307,0.7105263157894737,0.762214983713355
Alberta-U. a. cinnamonum,18,4,22,411,133,544,0.8181818181818182,0.7555147058823529
Oregon-U. a. cinnamonum,1,2,3,58,62,120,0.3333333333333333,0.48333333333333334
Northwest Territories-U. a. americanus,18,0,18,44,3,47,1.0,0.9361702127659575
Alaska-U. a. perniger,9,0,9,238,0,238,1.0,1.0
Alaska-U. a. pugnax,15,1,16,584,58,642,0.9375,0.9096573208722741
